sentences,tokens,tags
অবিলম্বে সব পক্ষের সঙ্গে আলাপ-আলোচনার মাধ্যমে পরিস্থিতি স্বাভাবিক করে দেশবাসীর মধ্যে স্বস্তি ফিরিয়ে আনার জন্য সরকারের প্রতি দাবি জানান এরশাদ।,"['অবিলম্বে', 'সব', 'পক্ষের', 'সঙ্গে', 'আলাপ', '<PUNCT>', 'আলোচনার', 'মাধ্যমে', 'পরিস্থিতি', 'স্বাভাবিক', 'করে', 'দেশবাসীর', 'মধ্যে', 'স্বস্তি', 'ফিরিয়ে', 'আনার', 'জন্য', 'সরকারের', 'প্রতি', 'দাবি', 'জানান', 'এরশাদ', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
অবশেষে বাসাবাড়িতে গ্যাসসংযোগ দেওয়ার সিদ্ধান্ত নিয়েছে সরকার।,"['অবশেষে', 'বাসাবাড়িতে', 'গ্যাসসংযোগ', 'দেওয়ার', 'সিদ্ধান্ত', 'নিয়েছে', 'সরকার', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
তিন বছর ঝুলিয়ে রাখার পর গ্রাহকেরা বাসাবাড়িতে গ্যাসের সংযোগ পেতে যাচ্ছেন।,"['তিন', 'বছর', 'ঝুলিয়ে', 'রাখার', 'পর', 'গ্রাহকেরা', 'বাসাবাড়িতে', 'গ্যাসের', 'সংযোগ', 'পেতে', 'যাচ্ছেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
খুব শিগগিরই জ্বালানি বিভাগ এ ব্যাপারে কাজ শুরু করবে। ',"['খুব', 'শিগগিরই', 'জ্বালানি', 'বিভাগ', 'এ', 'ব্যাপারে', 'কাজ', 'শুরু', 'করবে', '<PUNCT>', '<PUNCT>']","['O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
খবর ইউএনবির।,"['খবর', 'ইউএনবির', '<PUNCT>']","['O', 'B-ORG', 'O']"
সরকারের নিষেধাজ্ঞার কারণে ২০০৯ সালের জুলাই থেকে শিল্প খাতে গ্যাসের সংযোগ বন্ধ আছে।,"['সরকারের', 'নিষেধাজ্ঞার', 'কারণে', '২০০৯', 'সালের', 'জুলাই', 'থেকে', 'শিল্প', 'খাতে', 'গ্যাসের', 'সংযোগ', 'বন্ধ', 'আছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এর এক বছর পর ২০১০ সালের জুলাইয়ে বাসাবাড়িসহ সব ধরনের খাতে গ্যাসের সংযোগ বন্ধ রাখার সিদ্ধান্ত হয়।,"['এর', 'এক', 'বছর', 'পর', '২০১০', 'সালের', 'জুলাইয়ে', 'বাসাবাড়িসহ', 'সব', 'ধরনের', 'খাতে', 'গ্যাসের', 'সংযোগ', 'বন্ধ', 'রাখার', 'সিদ্ধান্ত', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ফলে ওই সময় থেকে নতুনভাবে গড়ে ওঠা ভবনগুলোতে গ্যাসসংযোগ দেওয়া হচ্ছিল না।,"['ফলে', 'ওই', 'সময়', 'থেকে', 'নতুনভাবে', 'গড়ে', 'ওঠা', 'ভবনগুলোতে', 'গ্যাসসংযোগ', 'দেওয়া', 'হচ্ছিল', 'না', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
রাজধানীর শাপলা চত্বরে অবস্থান নেওয়া হেফাজতে ইসলামের নেতা-কর্মীদের ওপর গত রোববার মধ্যরাতে 'পৈশাচিক হত্যাযজ্ঞ' চালানো হয়েছে বলে দাবি করেছে প্রধান বিরোধী দল বিএনপি।,"['রাজধানীর', 'শাপলা', 'চত্বরে', 'অবস্থান', 'নেওয়া', 'হেফাজতে', 'ইসলামের', 'নেতা', '<PUNCT>', 'কর্মীদের', 'ওপর', 'গত', 'রোববার', 'মধ্যরাতে', '<PUNCT>', 'পৈশাচিক', 'হত্যাযজ্ঞ', '<PUNCT>', 'চালানো', 'হয়েছে', 'বলে', 'দাবি', 'করেছে', 'প্রধান', 'বিরোধী', 'দল', 'বিএনপি', '<PUNCT>']","['O', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
তারা এ ঘটনার নিরপেক্ষ আন্তর্জাতিক তদন্ত দাবি করেছে।,"['তারা', 'এ', 'ঘটনার', 'নিরপেক্ষ', 'আন্তর্জাতিক', 'তদন্ত', 'দাবি', 'করেছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
আজ মঙ্গলবার প্রধান বিরোধী দল বিএনপির স্থায়ী কমিটির এক বিবৃতিতে এসব কথা বলা হয়।,"['আজ', 'মঙ্গলবার', 'প্রধান', 'বিরোধী', 'দল', 'বিএনপির', 'স্থায়ী', 'কমিটির', 'এক', 'বিবৃতিতে', 'এসব', 'কথা', 'বলা', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এই বিবৃতির মাধ্যমে হেফাজতে ইসলামের কর্মসূচি ও সরকারের অভিযানের বিষয়ে দলের আনুষ্ঠানিক বক্তব্য তুলে ধরা হয়।,"['এই', 'বিবৃতির', 'মাধ্যমে', 'হেফাজতে', 'ইসলামের', 'কর্মসূচি', 'ও', 'সরকারের', 'অভিযানের', 'বিষয়ে', 'দলের', 'আনুষ্ঠানিক', 'বক্তব্য', 'তুলে', 'ধরা', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"বিএনপির দাবি, ওই রাতে আড়াই থেকে তিন হাজার মানুষকে হত্যা করা হয়েছে বলে তারা বিভিন্ন সূত্রে জেনেছে।","['বিএনপির', 'দাবি', '<PUNCT>', 'ওই', 'রাতে', 'আড়াই', 'থেকে', 'তিন', 'হাজার', 'মানুষকে', 'হত্যা', 'করা', 'হয়েছে', 'বলে', 'তারা', 'বিভিন্ন', 'সূত্রে', 'জেনেছে', '<PUNCT>']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এ ছাড়া 'মৃতদেহের ওপর দিয়ে ভারী যানবাহন চালিয়ে দেওয়া এবং ট্রাকভর্তি লাশ সরিয়ে নেওয়ার দৃশ্যও' বিভিন্ন আলোকচিত্র ও ভিডিওচিত্রে তারা দেখেছে।,"['এ', 'ছাড়া', '<PUNCT>', 'মৃতদেহের', 'ওপর', 'দিয়ে', 'ভারী', 'যানবাহন', 'চালিয়ে', 'দেওয়া', 'এবং', 'ট্রাকভর্তি', 'লাশ', 'সরিয়ে', 'নেওয়ার', 'দৃশ্যও', '<PUNCT>', 'বিভিন্ন', 'আলোকচিত্র', 'ও', 'ভিডিওচিত্রে', 'তারা', 'দেখেছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"আওয়ামী লীগ ঠান্ডা মাথায়, পরিকল্পিতভাবে এই 'হত্যাযজ্ঞ' চালিয়েছে বলেও দাবি বিএনপির।","['আওয়ামী', 'লীগ', 'ঠান্ডা', 'মাথায়', '<PUNCT>', 'পরিকল্পিতভাবে', 'এই', '<PUNCT>', 'হত্যাযজ্ঞ', '<PUNCT>', 'চালিয়েছে', 'বলেও', 'দাবি', 'বিএনপির', '<PUNCT>']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"বিএনপির চেয়ারপারসনের উপদেষ্টা শামসুজ্জামান দুদুর সই করা বিবৃতিতে বলা হয়, 'শেখ হাসিনার সরকার গত ৫ মে রোববার মধ্যরাতের পর রাজধানী ঢাকার মতিঝিল শাপলা চত্বরে হেফাজতে ইসলামের শান্তিপূর্ণ অবস্থান কর্মসূচিতে অংশগ্রহণকারী লাখ লাখ নিরস্ত্র জনসাধারণের ওপর ভয়াবহতম যে পৈশাচিক হত্যাযজ্ঞ চালিয়েছে, তাতে দেশবাসী ও সচেতন বিশ্ববিবেকের সঙ্গে আমরাও স্তম্ভিত এবং গভীরভাবে বেদনাহত।","['বিএনপির', 'চেয়ারপারসনের', 'উপদেষ্টা', 'শামসুজ্জামান', 'দুদুর', 'সই', 'করা', 'বিবৃতিতে', 'বলা', 'হয়', '<PUNCT>', '<PUNCT>', 'শেখ', 'হাসিনার', 'সরকার', 'গত', '৫', 'মে', 'রোববার', 'মধ্যরাতের', 'পর', 'রাজধানী', 'ঢাকার', 'মতিঝিল', 'শাপলা', 'চত্বরে', 'হেফাজতে', 'ইসলামের', 'শান্তিপূর্ণ', 'অবস্থান', 'কর্মসূচিতে', 'অংশগ্রহণকারী', 'লাখ', 'লাখ', 'নিরস্ত্র', 'জনসাধারণের', 'ওপর', 'ভয়াবহতম', 'যে', 'পৈশাচিক', 'হত্যাযজ্ঞ', 'চালিয়েছে', '<PUNCT>', 'তাতে', 'দেশবাসী', 'ও', 'সচেতন', 'বিশ্ববিবেকের', 'সঙ্গে', 'আমরাও', 'স্তম্ভিত', 'এবং', 'গভীরভাবে', 'বেদনাহত', '<PUNCT>']","['B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"নিজের দেশের মানুষের ওপর কোনো সভ্য সরকার এমন জঘন্য বর্বর হত্যাযজ্ঞ চালাতে পারে, তা আমাদের কাছে কল্পনাতীত।","['নিজের', 'দেশের', 'মানুষের', 'ওপর', 'কোনো', 'সভ্য', 'সরকার', 'এমন', 'জঘন্য', 'বর্বর', 'হত্যাযজ্ঞ', 'চালাতে', 'পারে', '<PUNCT>', 'তা', 'আমাদের', 'কাছে', 'কল্পনাতীত', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এই নৃশংস মারণযজ্ঞের প্রতিবাদ জানাবার ও শোক প্রকাশের ভাষা আমাদের নেই।,"['এই', 'নৃশংস', 'মারণযজ্ঞের', 'প্রতিবাদ', 'জানাবার', 'ও', 'শোক', 'প্রকাশের', 'ভাষা', 'আমাদের', 'নেই', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"'বিএনপির স্থায়ী কমিটি মনে করে, 'এই হত্যাযজ্ঞ সম্পূর্ণভাবে ঠান্ডা মাথায় সুপরিকল্পিতভাবে ঘটানো হয়েছে।","['<PUNCT>', 'বিএনপির', 'স্থায়ী', 'কমিটি', 'মনে', 'করে', '<PUNCT>', '<PUNCT>', 'এই', 'হত্যাযজ্ঞ', 'সম্পূর্ণভাবে', 'ঠান্ডা', 'মাথায়', 'সুপরিকল্পিতভাবে', 'ঘটানো', 'হয়েছে', '<PUNCT>']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"আওয়ামী সশস্ত্র ক্যাডারদের পূর্ব থেকে মোতায়েন করা, তাদের পরিকল্পিত তাণ্ডব, হেফাজতের ওপর এর দোষ চাপানো, বিদ্যুত্ সরবরাহ বন্ধ করা, অভিযানের আগে ইলেকট্রনিক ও প্রিন্ট মিডিয়ার সাংবাদিকদের ঘটনাস্থল থেকে বিতাড়িত করা থেকে তা স্পষ্ট হয়ে উঠেছে। '","['আওয়ামী', 'সশস্ত্র', 'ক্যাডারদের', 'পূর্ব', 'থেকে', 'মোতায়েন', 'করা', '<PUNCT>', 'তাদের', 'পরিকল্পিত', 'তাণ্ডব', '<PUNCT>', 'হেফাজতের', 'ওপর', 'এর', 'দোষ', 'চাপানো', '<PUNCT>', 'বিদ্যুত', 'সরবরাহ', 'বন্ধ', 'করা', '<PUNCT>', 'অভিযানের', 'আগে', 'ইলেকট্রনিক', 'ও', 'প্রিন্ট', 'মিডিয়ার', 'সাংবাদিকদের', 'ঘটনাস্থল', 'থেকে', 'বিতাড়িত', 'করা', 'থেকে', 'তা', 'স্পষ্ট', 'হয়ে', 'উঠেছে', '<PUNCT>', '<PUNCT>']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
নিরস্ত্র জনগণের সমাবেশ ভাঙতে সরকার আর্মার্ড পারসোনেল ক্যারিয়ারসহ (এপিসি) যুদ্ধক্ষেত্রে ব্যবহূত ভয়ংকর বিভিন্ন মারণাস্ত্র ও সাজসরঞ্জাম ব্যবহার করেছে বলে অভিযোগ করে বিএনপি।,"['নিরস্ত্র', 'জনগণের', 'সমাবেশ', 'ভাঙতে', 'সরকার', 'আর্মার্ড', 'পারসোনেল', 'ক্যারিয়ারসহ', '<PUNCT>', 'এপিসি', '<PUNCT>', 'যুদ্ধক্ষেত্রে', 'ব্যবহূত', 'ভয়ংকর', 'বিভিন্ন', 'মারণাস্ত্র', 'ও', 'সাজসরঞ্জাম', 'ব্যবহার', 'করেছে', 'বলে', 'অভিযোগ', 'করে', 'বিএনপি', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
সমাবেশের দিন আওয়ামী লীগ ও এর অঙ্গ-সহযোগী সংগঠনের 'সশস্ত্র ক্যাডাররা' বায়তুল মোকাররমের আশপাশে হেফাজতের মিছিলে হামলা চালিয়েছে বলে বিএনপির অভিযোগ।,"['সমাবেশের', 'দিন', 'আওয়ামী', 'লীগ', 'ও', 'এর', 'অঙ্গ', '<PUNCT>', 'সহযোগী', 'সংগঠনের', '<PUNCT>', 'সশস্ত্র', 'ক্যাডাররা', '<PUNCT>', 'বায়তুল', 'মোকাররমের', 'আশপাশে', 'হেফাজতের', 'মিছিলে', 'হামলা', 'চালিয়েছে', 'বলে', 'বিএনপির', 'অভিযোগ', '<PUNCT>']","['O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O']"
"বিএনপি বলেছে, 'আইনশৃঙ্খলা রক্ষাকারী বাহিনী সরকারের নির্দেশে আক্রমণকারীদের সুরক্ষা দিয়ে হেফাজত কর্মীদের ওপরই যৌথভাবে হামলা চালায়।","['বিএনপি', 'বলেছে', '<PUNCT>', '<PUNCT>', 'আইনশৃঙ্খলা', 'রক্ষাকারী', 'বাহিনী', 'সরকারের', 'নির্দেশে', 'আক্রমণকারীদের', 'সুরক্ষা', 'দিয়ে', 'হেফাজত', 'কর্মীদের', 'ওপরই', 'যৌথভাবে', 'হামলা', 'চালায়', '<PUNCT>']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
তারা বৃষ্টির মতো গুলিবর্ষণ করে।,"['তারা', 'বৃষ্টির', 'মতো', 'গুলিবর্ষণ', 'করে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O']"
এতে অন্তত ছয়জন নিহত ও শতাধিক আহত হয়।,"['এতে', 'অন্তত', 'ছয়জন', 'নিহত', 'ও', 'শতাধিক', 'আহত', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"এই ন্যক্কারজনক হামলার শিকার হেফাজত কর্মীরা শাপলা চত্বরের সমাবেশের দিকে চলে যাওয়ার পর সরকারি দলের সশস্ত্র সন্ত্রাসীরা পল্টন মোড় ও বায়তুল মোকাররম এলাকা দখলে নিয়ে পূর্বপরিকল্পনা মোতাবেক আইনশৃঙ্খলা বাহিনীর ছত্রছায়ায় বিভিন্ন প্রতিষ্ঠান, দোকানপাট, বাণিজ্যকেন্দ্র, ফুটপাথের বইয়ের দোকান ও যানবাহনে বেপরোয়া হামলা, ভাঙচুর, অগ্নিসংযোগ ও লুটপাট চালায়।","['এই', 'ন্যক্কারজনক', 'হামলার', 'শিকার', 'হেফাজত', 'কর্মীরা', 'শাপলা', 'চত্বরের', 'সমাবেশের', 'দিকে', 'চলে', 'যাওয়ার', 'পর', 'সরকারি', 'দলের', 'সশস্ত্র', 'সন্ত্রাসীরা', 'পল্টন', 'মোড়', 'ও', 'বায়তুল', 'মোকাররম', 'এলাকা', 'দখলে', 'নিয়ে', 'পূর্বপরিকল্পনা', 'মোতাবেক', 'আইনশৃঙ্খলা', 'বাহিনীর', 'ছত্রছায়ায়', 'বিভিন্ন', 'প্রতিষ্ঠান', '<PUNCT>', 'দোকানপাট', '<PUNCT>', 'বাণিজ্যকেন্দ্র', '<PUNCT>', 'ফুটপাথের', 'বইয়ের', 'দোকান', 'ও', 'যানবাহনে', 'বেপরোয়া', 'হামলা', '<PUNCT>', 'ভাঙচুর', '<PUNCT>', 'অগ্নিসংযোগ', 'ও', 'লুটপাট', 'চালায়', '<PUNCT>']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
তারা বিভিন্ন ধর্মগ্রন্থ এমনকি পবিত্র কোরআন শরিফেও অগ্নিসংযোগ করে।,"['তারা', 'বিভিন্ন', 'ধর্মগ্রন্থ', 'এমনকি', 'পবিত্র', 'কোরআন', 'শরিফেও', 'অগ্নিসংযোগ', 'করে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
বিভিন্ন বেসরকারি টিভি চ্যানেলে সরাসরি সম্প্রচারিত ভিডিও ফুটেজে আওয়ামী লীগের বিভিন্ন অঙ্গসংগঠনের পদ-পদবিধারী বেশ কয়েকজনকে এসব সন্ত্রাসী তত্পরতায় নেতৃত্ব দিতে দেখা গেছে। ',"['বিভিন্ন', 'বেসরকারি', 'টিভি', 'চ্যানেলে', 'সরাসরি', 'সম্প্রচারিত', 'ভিডিও', 'ফুটেজে', 'আওয়ামী', 'লীগের', 'বিভিন্ন', 'অঙ্গসংগঠনের', 'পদ', '<PUNCT>', 'পদবিধারী', 'বেশ', 'কয়েকজনকে', 'এসব', 'সন্ত্রাসী', 'তৎপরতায়', 'নেতৃত্ব', 'দিতে', 'দেখা', 'গেছে', '<PUNCT>', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"বিএনপি বলেছে, 'মধ্যরাতের পর শাপলা চত্বর ও আশপাশে অবস্থানরত হেফাজতের নেতা-কর্মীরা যখন ঘুমে এবং কেউ কেউ জিকির আসগারে নিমগ্ন, সে সময় তাঁদের ওপর নেমে আসে পৈশাচিক হত্যাযজ্ঞ। '","['বিএনপি', 'বলেছে', '<PUNCT>', '<PUNCT>', 'মধ্যরাতের', 'পর', 'শাপলা', 'চত্বর', 'ও', 'আশপাশে', 'অবস্থানরত', 'হেফাজতের', 'নেতা', '<PUNCT>', 'কর্মীরা', 'যখন', 'ঘুমে', 'এবং', 'কেউ', 'কেউ', 'জিকির', 'আসগারে', 'নিমগ্ন', '<PUNCT>', 'সে', 'সময়', 'তাঁদের', 'ওপর', 'নেমে', 'আসে', 'পৈশাচিক', 'হত্যাযজ্ঞ', '<PUNCT>', '<PUNCT>']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"বিএনপির স্থায়ী কমিটির সদস্যরা বলেন, এই গণহত্যায় আইনশৃঙ্খলা ও আধাসামরিক বাহিনীর সঙ্গে সরকারি দলের সশস্ত্র সন্ত্রাসীরাও সরাসরি অংশ নিয়েছে।","['বিএনপির', 'স্থায়ী', 'কমিটির', 'সদস্যরা', 'বলেন', '<PUNCT>', 'এই', 'গণহত্যায়', 'আইনশৃঙ্খলা', 'ও', 'আধাসামরিক', 'বাহিনীর', 'সঙ্গে', 'সরকারি', 'দলের', 'সশস্ত্র', 'সন্ত্রাসীরাও', 'সরাসরি', 'অংশ', 'নিয়েছে', '<PUNCT>']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"১৯৭১ সালের ২৫ মার্চের কালো রাতে ঘুমন্ত মানুষের ওপর যে পৈশাচিক গণহত্যা এই অঞ্চলে পাকিস্তানের মৃত্যু ঘটিয়ে স্বাধীন বাংলাদেশের অভ্যুদয়কে অনিবার্য করে তুলেছিল, ৫ মে কালরাতের গণহত্যা কেবল তার সঙ্গেই তুলনীয়।","['১৯৭১', 'সালের', '২৫', 'মার্চের', 'কালো', 'রাতে', 'ঘুমন্ত', 'মানুষের', 'ওপর', 'যে', 'পৈশাচিক', 'গণহত্যা', 'এই', 'অঞ্চলে', 'পাকিস্তানের', 'মৃত্যু', 'ঘটিয়ে', 'স্বাধীন', 'বাংলাদেশের', 'অভ্যুদয়কে', 'অনিবার্য', 'করে', 'তুলেছিল', '<PUNCT>', '৫', 'মে', 'কালরাতের', 'গণহত্যা', 'কেবল', 'তার', 'সঙ্গেই', 'তুলনীয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এই বর্বরতা ঔপনিবেশিক ভারতের কুখ্যাত 'জালিয়ানওয়ালাবাগের' হত্যাকাণ্ডকেও হার মানিয়েছে।,"['এই', 'বর্বরতা', 'ঔপনিবেশিক', 'ভারতের', 'কুখ্যাত', '<PUNCT>', 'জালিয়ানওয়ালাবাগের', '<PUNCT>', 'হত্যাকাণ্ডকেও', 'হার', 'মানিয়েছে', '<PUNCT>']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
মানবতার ইতিহাসে ক্ষমাহীন এই জঘন্য হত্যাযজ্ঞ কলঙ্কের এক নতুন অধ্যায় হয়ে থাকবে।,"['মানবতার', 'ইতিহাসে', 'ক্ষমাহীন', 'এই', 'জঘন্য', 'হত্যাযজ্ঞ', 'কলঙ্কের', 'এক', 'নতুন', 'অধ্যায়', 'হয়ে', 'থাকবে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"এর জন্য আওয়ামী লীগকে কেবল ইতিহাসের কাঠগড়ায় নয়, আইনের কাঠগড়ায়ও একসময় দাঁড়াতে হবে। '","['এর', 'জন্য', 'আওয়ামী', 'লীগকে', 'কেবল', 'ইতিহাসের', 'কাঠগড়ায়', 'নয়', '<PUNCT>', 'আইনের', 'কাঠগড়ায়ও', 'একসময়', 'দাঁড়াতে', 'হবে', '<PUNCT>', '<PUNCT>']","['O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"বিএনপি বলেছে, 'পৈশাচিক ঘটনাবলি সম্পর্কে সরকারের তরফ থেকে আনুষ্ঠানিক কোনো বিবরণ বা প্রেসনোট দেওয়া হয়নি।","['বিএনপি', 'বলেছে', '<PUNCT>', '<PUNCT>', 'পৈশাচিক', 'ঘটনাবলি', 'সম্পর্কে', 'সরকারের', 'তরফ', 'থেকে', 'আনুষ্ঠানিক', 'কোনো', 'বিবরণ', 'বা', 'প্রেসনোট', 'দেওয়া', 'হয়নি', '<PUNCT>']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
হতাহতের কোনো সঠিক পরিসংখ্যানও দেশবাসীকে জানানো হয়নি।,"['হতাহতের', 'কোনো', 'সঠিক', 'পরিসংখ্যানও', 'দেশবাসীকে', 'জানানো', 'হয়নি', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
বিদেশি গণমাধ্যমসহ বিভিন্ন সূত্রে আড়াই থেকে তিন হাজার লোককে হত্যা এবং ১০ হাজারের অধিক মানুষ আহত হওয়ার কথা জানা যাচ্ছে।,"['বিদেশি', 'গণমাধ্যমসহ', 'বিভিন্ন', 'সূত্রে', 'আড়াই', 'থেকে', 'তিন', 'হাজার', 'লোককে', 'হত্যা', 'এবং', '১০', 'হাজারের', 'অধিক', 'মানুষ', 'আহত', 'হওয়ার', 'কথা', 'জানা', 'যাচ্ছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
